date,open,high,low,close,volume,average,barCount,symbol
2024-06-19 09:20:00-04:00,1.2722,1.2722,1.2719,1.272,-1.0,-1.0,-1,GBP
2024-06-19 09:25:00-04:00,1.272,1.2722,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 09:30:00-04:00,1.2719,1.272,1.2717,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 09:35:00-04:00,1.2719,1.272,1.2718,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 09:40:00-04:00,1.2719,1.2721,1.2718,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 09:45:00-04:00,1.2721,1.2722,1.2719,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 09:50:00-04:00,1.27205,1.27215,1.2719,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 09:55:00-04:00,1.27205,1.27225,1.27205,1.2722,-1.0,-1.0,-1,GBP
2024-06-19 10:00:00-04:00,1.2722,1.2725,1.27215,1.2723,-1.0,-1.0,-1,GBP
2024-06-19 10:05:00-04:00,1.2723,1.27255,1.2723,1.2723,-1.0,-1.0,-1,GBP
2024-06-19 10:10:00-04:00,1.2723,1.27245,1.2721,1.27235,-1.0,-1.0,-1,GBP
2024-06-19 10:15:00-04:00,1.27235,1.27255,1.2722,1.2725,-1.0,-1.0,-1,GBP
2024-06-19 10:20:00-04:00,1.2725,1.27265,1.2725,1.27265,-1.0,-1.0,-1,GBP
2024-06-19 10:25:00-04:00,1.27265,1.27295,1.27265,1.27275,-1.0,-1.0,-1,GBP
2024-06-19 10:30:00-04:00,1.27275,1.273,1.27275,1.2728,-1.0,-1.0,-1,GBP
2024-06-19 10:35:00-04:00,1.2728,1.2728,1.2727,1.2728,-1.0,-1.0,-1,GBP
2024-06-19 10:40:00-04:00,1.2728,1.2728,1.27245,1.2727,-1.0,-1.0,-1,GBP
2024-06-19 10:45:00-04:00,1.2727,1.273,1.2727,1.273,-1.0,-1.0,-1,GBP
2024-06-19 10:50:00-04:00,1.273,1.2733,1.27295,1.2732,-1.0,-1.0,-1,GBP
2024-06-19 10:55:00-04:00,1.2732,1.2734,1.273,1.27305,-1.0,-1.0,-1,GBP
2024-06-19 11:00:00-04:00,1.27305,1.2732,1.27295,1.2731,-1.0,-1.0,-1,GBP
2024-06-19 11:05:00-04:00,1.2731,1.2731,1.27285,1.2729,-1.0,-1.0,-1,GBP
2024-06-19 11:10:00-04:00,1.2729,1.27295,1.2727,1.2727,-1.0,-1.0,-1,GBP
2024-06-19 11:15:00-04:00,1.2727,1.27275,1.2725,1.2726,-1.0,-1.0,-1,GBP
2024-06-19 11:20:00-04:00,1.2726,1.2726,1.27225,1.2723,-1.0,-1.0,-1,GBP
2024-06-19 11:25:00-04:00,1.2723,1.2725,1.2723,1.27245,-1.0,-1.0,-1,GBP
2024-06-19 11:30:00-04:00,1.27245,1.2725,1.27235,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 11:35:00-04:00,1.2724,1.27245,1.27235,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 11:40:00-04:00,1.2724,1.27245,1.2723,1.2723,-1.0,-1.0,-1,GBP
2024-06-19 11:45:00-04:00,1.2723,1.2723,1.2721,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 11:50:00-04:00,1.2721,1.2723,1.2721,1.2722,-1.0,-1.0,-1,GBP
2024-06-19 11:55:00-04:00,1.2722,1.2724,1.2721,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 12:00:00-04:00,1.2724,1.2724,1.2723,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 12:05:00-04:00,1.2724,1.2725,1.27235,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 12:10:00-04:00,1.2724,1.27255,1.2724,1.2725,-1.0,-1.0,-1,GBP
2024-06-19 12:15:00-04:00,1.2725,1.27255,1.2725,1.2725,-1.0,-1.0,-1,GBP
2024-06-19 12:20:00-04:00,1.2725,1.27255,1.2724,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 12:25:00-04:00,1.2724,1.2725,1.2724,1.2725,-1.0,-1.0,-1,GBP
2024-06-19 12:30:00-04:00,1.2725,1.2725,1.2725,1.2725,-1.0,-1.0,-1,GBP
2024-06-19 12:35:00-04:00,1.2725,1.2725,1.27235,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 12:40:00-04:00,1.2724,1.2724,1.27235,1.2724,-1.0,-1.0,-1,GBP
2024-06-19 12:45:00-04:00,1.2724,1.2724,1.2721,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 12:50:00-04:00,1.2721,1.2722,1.27205,1.2722,-1.0,-1.0,-1,GBP
2024-06-19 12:55:00-04:00,1.2722,1.2722,1.27205,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 13:00:00-04:00,1.2721,1.2721,1.27195,1.272,-1.0,-1.0,-1,GBP
2024-06-19 13:05:00-04:00,1.272,1.27215,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 13:10:00-04:00,1.2721,1.2722,1.2721,1.27215,-1.0,-1.0,-1,GBP
2024-06-19 13:15:00-04:00,1.27215,1.27215,1.27215,1.27215,-1.0,-1.0,-1,GBP
