Date,Entry Price,Stop Loss,Direction,Quantity,Balance,Max Balance,Drawdown
2024-05-29 07:50:00-04:00,0.027662517289073207,0.04149377593360981,SELL,4.784503941962009e+229,2.3922519709810044e+230,2.3922519709810044e+230,0.0
2024-06-10 04:20:00-04:00,0.016569955484158072,0.008284977742079036,BUY,4.784503941962009e+229,1.9138015767848035e+230,2.3922519709810044e+230,4.784503941962009e+229
2024-06-06 13:00:00-04:00,-0.015401942570003602,-0.023102913855005403,SELL,3.8276031535696074e+229,2.2965618921417644e+230,2.3922519709810044e+230,9.569007883923997e+228
2024-06-13 13:15:00-04:00,0.00465636058855079,0.006984540882826185,SELL,4.593123784283529e+229,2.2965618921417644e+230,2.3922519709810044e+230,9.569007883923997e+228
2024-05-28 15:50:00-04:00,-0.007835148476065257,-0.011752722714097885,SELL,4.593123784283529e+229,2.7558742705701174e+230,2.7558742705701174e+230,0.0
2024-06-19 14:15:00-04:00,-0.0012662475387337224,-0.0018993713081005836,SELL,5.511748541140235e+229,3.2151866489984704e+230,3.2151866489984704e+230,0.0
2024-06-11 18:30:00-04:00,-0.004654410053517299,-0.006981615080275949,SELL,6.430373297996941e+229,3.766361503112494e+230,3.766361503112494e+230,0.0
2024-05-28 14:35:00-04:00,-0.018417902200940084,-0.027626853301410126,SELL,7.532723006224988e+229,4.519633803734993e+230,4.519633803734993e+230,0.0
2024-05-27 01:35:00-04:00,-0.005422682122369071,-0.008134023183553607,SELL,9.039267607469987e+229,5.162671133534687e+230,5.162671133534687e+230,0.0
2024-06-18 03:30:00-04:00,0.031004024195779856,0.046506036293669784,SELL,1.0325342267069375e+230,5.162671133534687e+230,5.162671133534687e+230,0.0
2024-05-28 21:40:00-04:00,-0.003920338717278149,-0.0058805080759172235,SELL,1.0325342267069375e+230,7.099132120988624e+230,7.099132120988624e+230,0.0
2024-05-27 18:55:00-04:00,-0.007647086937823122,-0.011470630406734683,SELL,1.4198264241977249e+230,8.518958545186349e+230,8.518958545186349e+230,0.0
2024-06-19 17:35:00-04:00,-0.0041136506751193735,-0.00617047601267906,SELL,1.7037917090372698e+230,1.022275025422362e+231,1.022275025422362e+231,0.0
2024-05-29 18:30:00-04:00,-0.009256687957048815,-0.013885031935573222,SELL,2.044550050844724e+230,1.2267300305068343e+231,1.2267300305068343e+231,0.0
2024-06-13 21:40:00-04:00,-0.004450024634072847,-0.00667503695110927,SELL,2.453460061013669e+230,1.2267300305068343e+231,1.2267300305068343e+231,0.0
2024-06-04 22:30:00-04:00,0.007825644637482476,0.011738466956223714,SELL,2.453460061013669e+230,1.4720760366082013e+231,1.4720760366082013e+231,0.0
2024-06-13 00:30:00-04:00,-0.003911444887727544,-0.005867167331591316,SELL,2.9441520732164028e+230,1.7664912439298416e+231,1.7664912439298416e+231,0.0
2024-06-12 02:15:00-04:00,0.00508758597226322,0.00763137895839483,SELL,3.5329824878596834e+230,1.7664912439298416e+231,1.7664912439298416e+231,0.0
2024-06-13 15:50:00-04:00,0.0028659499668792776,0.004298924950318916,SELL,3.5329824878596834e+230,2.11978949271581e+231,2.11978949271581e+231,0.0
2024-06-20 04:55:00-04:00,-0.004665049449537051,-0.006997574174305576,SELL,4.23957898543162e+230,2.543747391258972e+231,2.543747391258972e+231,0.0
2024-05-29 14:25:00-04:00,0.006026026089522851,0.009039039134284277,SELL,5.087494782517945e+230,2.543747391258972e+231,2.543747391258972e+231,0.0
2024-06-18 19:25:00-04:00,0.0,0.0,SELL,5.087494782517945e+230,2.543747391258972e+231,2.543747391258972e+231,0.0
2024-06-06 20:25:00-04:00,0.007817997029158086,0.011726995543737129,SELL,5.087494782517945e+230,2.5333664751366956e+231,2.543747391258972e+231,1.0380916122276357e+229
2024-05-30 20:00:00-04:00,-0.009231479344562477,-0.013847219016843715,SELL,5.0667329502733916e+230,3.0400397701640346e+231,3.0400397701640346e+231,0.0
2024-06-11 23:25:00-04:00,0.0,0.0,SELL,6.08007954032807e+230,3.0400397701640346e+231,3.0400397701640346e+231,0.0
2024-06-17 23:50:00-04:00,0.003938403371273047,0.005907605056909571,SELL,6.08007954032807e+230,4.510095451234604e+231,4.510095451234604e+231,0.0
2024-06-12 21:45:00-04:00,-0.004626202812718638,-0.0069393042190779575,SELL,9.020190902469208e+230,4.510095451234604e+231,4.510095451234604e+231,0.0
2024-06-18 19:20:00-04:00,0.0,0.0,SELL,9.020190902469208e+230,4.510095451234604e+231,4.510095451234604e+231,0.0
2024-06-04 03:25:00-04:00,-0.04590103736343831,-0.06885155604515747,SELL,9.020190902469208e+230,7.10035413562513e+231,7.10035413562513e+231,0.0
2024-06-18 12:10:00-04:00,0.009310120100547437,0.013965180150821155,SELL,1.420070827125026e+231,7.10035413562513e+231,7.10035413562513e+231,0.0
2024-05-28 10:55:00-04:00,-0.02517775815966683,-0.037766637239500245,SELL,1.420070827125026e+231,9.931193531248871e+231,9.931193531248871e+231,0.0
2024-06-21 10:05:00-04:00,0.003958358073075097,0.0019791790365375483,BUY,1.9862387062497744e+231,1.0587046524701298e+232,1.0587046524701298e+232,0.0
2024-05-28 16:15:00-04:00,-0.004603839602213,-0.0069057594033195,BUY,2.11740930494026e+231,8.600807818451524e+231,1.0587046524701298e+232,1.9862387062497744e+231
2024-06-03 05:25:00-04:00,-0.004613823013754903,-0.0069207345206323545,SELL,1.7201615636903047e+231,1.1741040209266855e+232,1.1741040209266855e+232,0.0
2024-05-30 06:25:00-04:00,0.02754387345558218,0.04131581018337327,SELL,2.348208041853371e+231,1.3858449514207115e+232,1.3858449514207115e+232,0.0
2024-05-26 23:45:00-04:00,-0.009251018409528466,-0.0138765276142927,SELL,2.771689902841423e+231,1.3858449514207115e+232,1.3858449514207115e+232,0.0
